1 22782U          93243.18185851 0.00000006  00000+0  00000+0 0    17
2 22782  82.6640  76.2345 0037394 336.4723  23.4722 13.79500585    03
1 22782U 93055A   93243.25438903  .00000006  00000-0  00000+0 0    17
2 22782  82.5375  76.1802 0032878 299.8478  59.9135 13.86215597    12
1 22782U          93243.25438903 0.00000006  00000+0  00000+0 0    14
2 22782  82.5375  76.1802 0032878 299.8478  59.9135 13.86215597    12
1 22782U 93055A   93243.47146466  .00000006  00000-0  00000+0 0    22
2 22782  82.6570  76.0230 0022884 308.4733  51.4075 13.81993666    49
1 22782U          93243.47146466 0.00000006  00000+0  00000+0 0    29
2 22782  82.6570  76.0230 0022884 308.4733  51.4075 13.81993666    49
1 22782U 93055A   93243.47147065  .00000006  00000-0  00000+0 0    39
2 22782  82.5349  76.0115 0021081 316.4634  43.6860 13.82888100    43
1 22782U          93243.47147065 0.00000006  00000+0  00000+0 0    36
2 22782  82.5349  76.0115 0021081 316.4634  43.6860 13.82888100    43
1 22782U 93055A   93243.83317421  .00009981  00000-0  91122-2 0    44
2 22782  82.5433  75.7371 0021512 317.7388  42.1859 13.82926921    97
1 22782U          93243.83317421 0.00009981  00000+0  91122-2 0    41
2 22782  82.5433  75.7371 0021512 317.7388  42.1859 13.82926921    97
1 22782U 93055A   93243.90551964  .00009993  00000-0  91122-2 0    58
2 22782  82.5470  75.6810 0021489 318.8374  41.1156 13.82997089   109
1 22782U          93243.90551964 0.00009993  00000+0  91122-2 0    55
2 22782  82.5470  75.6810 0021489 318.8374  41.1156 13.82997089   109
1 22782U 93055A   93244.05021363 -.00031436  00000+0  28770-1 0    66
2 22782  82.5456  75.5662 0021504 318.4294  41.5158 13.82979126   122
1 22782U 93055A   93244.05021427 -.00031136  00000-0 -28770-1 0    66
2 22782  82.5456  75.5663 0021504 318.4295  41.5158 13.82979126   124
1 22782U          93244.05021427 -.00031136  00000+0  28770-1 0    62
2 22782  82.5456  75.5663 0021504 318.4295  41.5158 13.82979126   124
1 22782U 93055A   93244.05021427 -.00031136  00000-0 -28770-1 0    77
2 22782  82.5456  75.5663 0021504 318.4295  41.5158 13.82979126   124
1 22782U 93055A   93244.84606084  .00005435  00000-0  49569-2 0    84
2 22782  82.5442  74.9334 0021661 315.9639  44.0690 13.82988141   233
1 22782U 93055A   93246.58239487  .00005436  00000-0  49569-2 0    98
2 22782  82.5434  73.5584 0021662 311.2267  48.7034 13.82992099   479
1 22782U 93055A   93247.16117699 0.00000098  00000+0  75378-4 0    90
2 22782  82.5457  73.0994 0021507 309.9211  50.0056 13.82985469   557
1 22782U 93055A   93247.45056844  .00000314  00000-0  27734-3 0   102
2 22782  82.5457  72.8705 0021503 308.9922  50.9327 13.82986202   598
1 22782U          93247.45056844 0.00000314  00000+0  27734-3 0   109
2 22782  82.5457  72.8705 0021503 308.9922  50.9327 13.82986202   598
1 22782U 93055A   93248.17404771 -.00000066  00000+0  74213-4 0   107
2 22782  82.5453  72.2972 0021409 306.8337  53.0858 13.82984937   693
1 22782U 93055A   93249.18691948 -.00000066  00000+0  74416-4 0   108
2 22782  82.5453  71.4943 0021386 304.0051  55.9077 13.82984755   837
1 22782U 93055A   93250.19979090 -.00000003  00000+0  16534-4 0   106
2 22782  82.5454  70.6914 0021373 301.1468  58.7595 13.82985039   970
1 22782U 93055A   93250.99561973 0.00000025  00000+0  91822-5 0   108
2 22782  82.5455  70.0604 0021361 298.8662  61.0355 13.82985230  1083
1 22782U 93055A   93251.57440290  .00000001  00000-0 -43893-5 0   113
2 22782  82.5455  69.6015 0021356 297.2444  62.6534 13.82985120  1161
1 22782U          93251.57440291 0.00000001  00000+0  43893-5 0   110
2 22782  82.5455  69.6015 0021356 297.2444  62.6534 13.82985120  1161
1 22782U 93055A   93252.08083824 0.00000015  00000+0  21104-6 0   111
2 22782  82.5455  69.2000 0021350 295.8143  64.0813 13.82985157  1239
1 22782U 93055A   93253.09371151 0.00000008  00000+0  62969-5 0   111
2 22782  82.5455  68.3970 0021346 292.9705  66.9202 13.82985086  1371
1 22782U 93055A   93254.03423512 0.00000000  00000+0  13579-4 0   119
2 22782  82.5455  67.6514 0021332 290.3192  69.5674 13.82984972  1504
1 22782U 93055A   93255.04710643 0.00000011  00000+0  34431-5 0   118
2 22782  82.5454  66.8483 0021312 287.4150  72.4679 13.82985089  1641
1 22782U 93055A   93256.05997903  .00000011  00000-0  48968-5 0   128
2 22782  82.5454  66.0453 0021302 284.5441  75.3357 13.82985214  1780
1 22782U 93055A   93256.05998031 0.00000020  00000+0  48968-5 0   120
2 22782  82.5454  66.0453 0021302 284.5440  75.3357 13.82985214  1789
1 22782U 93055A   93257.07285262 0.00000014  00000+0  74164-6 0   129
2 22782  82.5453  65.2416 0021217 281.3601  78.5175 13.82985138  1921
1 22782U 93055A   93258.08572243 0.00000020  00000+0  48944-5 0   122
2 22782  82.5452  64.4387 0021220 278.5567  81.3187 13.82985219  2062
1 22782U 93055A   93259.09859470 0.00000029  00000+0  13099-4 0   125
2 22782  82.5452  63.6356 0021195 275.6959  84.1782 13.82985366  2204
1 22782U 93055A   93259.09859596  .00000020  00000-0  13099-4 0   137
2 22782  82.5452  63.6357 0021195 275.6959  84.1782 13.82985365  2204
1 22782U 93055A   93260.03912026 0.00000036  00000+0  19314-4 0   133
2 22782  82.5452  62.8899 0021158 273.0022  86.8716 13.82985507  2336
1 22782U 93055A   93261.05199416 0.00000034  00000+0  17723-4 0   136
2 22782  82.5452  62.0869 0021151 270.1400  89.7336 13.82985519  2474
1 22782U 93055A   93262.13721295  .00000026  00000-0  18640-4 0   144
2 22782  82.5457  61.2257 0021078 266.4546  93.4184 13.82985602  2621
1 22782U 93055A   93262.13721296 0.00000035  00000+0  18640-4 0   144
2 22782  82.5457  61.2256 0021078 266.4546  93.4184 13.82985603  2621
1 22782U 93055A   93263.07773928 0.00000036  00000+0  19068-4 0   143
2 22782  82.5457  60.4801 0021059 263.7687  96.1073 13.82985652  2758
1 22782U 93055A   93264.09060959 0.00000035  00000+0  18438-4 0   148
2 22782  82.5457  59.6772 0021053 260.9061  98.9716 13.82985685  2899
1 22782U 93055A   93265.10348286 0.00000025  00000+0  87261-5 0   143
2 22782  82.5455  58.8739 0020979 257.6948 102.1862 13.82985521  3030
1 22782U 93055A   93265.46522455  .00000015  00000-0  83089-5 0   159
2 22782  82.5455  58.5871 0020982 256.6669 103.2151 13.82985519  3082
1 22782U          93265.46522455 0.00000015  00000+0  83089-5 0   156
2 22782  82.5455  58.5871 0020982 256.6669 103.2151 13.82985519  3082
1 22782U 93055A   93266.04401052 0.00000023  00000+0  79444-5 0   151
2 22782  82.5455  58.1284 0020980 255.0319 104.8518 13.82985525  3169
1 22782U 93055A   93267.05688381 0.00000023  00000+0  74950-5 0   152
2 22782  82.5456  57.3256 0020974 252.1562 107.7310 13.82985537  3302
1 22782U 93055A   93268.06975731 0.00000021  00000+0  57975-5 0   158
2 22782  82.5457  56.5227 0020971 249.2808 110.6104 13.82985515  3444
1 22782U 93055A   93268.50384472  .00000011  00000-0  44974-5 0   169
2 22782  82.5457  56.1787 0020973 248.0525 111.8404 13.82985488  3508
1 22782U          93268.50384472 0.00000011  00000+0  44974-5 0   166
2 22782  82.5457  56.1787 0020973 248.0525 111.8404 13.82985488  3508
1 22782U 93055A   93269.08263088 0.00000020  00000+0  48867-5 0   166
2 22782  82.5457  55.7199 0020953 246.3817 113.5143 13.82985510  3586
1 22782U 93055A   93270.09550209 0.00000018  00000+0  29261-5 0   167
2 22782  82.5458  54.9172 0020943 243.4843 116.4168 13.82985473  3728
1 22782U 93055A   93271.03602888 0.00000020  00000+0  44544-5 0   167
2 22782  82.5458  54.1716 0020927 240.7669 119.1398 13.82985526  3850
1 22782U 93055A   93272.04890292  .00000009  00000-0  26230-5 0   178
2 22782  82.5458  53.3688 0020914 237.8672 122.0460 13.82985484  3997
1 22782U 93055A   93272.04890420 0.00000017  00000+0  26230-5 0   179
2 22782  82.5458  53.3688 0020914 237.8671 122.0460 13.82985485  3997
1 22782U 93055A   93272.48299048 0.00000017  00000+0  21416-5 0   177
2 22782  82.5459  53.0247 0020915 236.6467 123.2689 13.82985473  4058
1 22782U 93055A   93276.89622724 0.00000035  00000+0  18682-4 0   234
2 22782  82.5486  49.5290 0021109 222.0254 137.9284 13.82985925  4667
1 22782U 93055A   93277.90910118 0.00000038  00000+0  21770-4 0   521
2 22782  82.5485  48.7265 0021148 219.2625 140.7000 13.82986033  4807
1 22782U 93055A   93279.28371599 0.00000043  00000+0  25680-4 0   685
2 22782  82.5486  47.6373 0021175 215.5070 144.4683 13.82986152  4988
1 22782U 93055A   93279.86249977 0.00000047  00000+0  29620-4 0   809
2 22782  82.5485  47.1787 0021238 213.3665 146.6157 13.82986219  5072
1 22782U          93280.36893775 0.00000046  00000+0  36542-4 0   197
2 22782  82.5482  46.7764 0021306 211.9343 148.0527 13.82986338  5149
1 22782U 93055A   93280.87537511 0.00000043  00000+0  25955-4 0   696
2 22782  82.5481  46.3747 0021362 210.4209 149.5707 13.82986168  5217
1 22782U 93055A   93282.82877486 0.00000430  00000+0  36877-3 0   695
2 22782  82.5482  44.8271 0022182 203.6963 156.3176 13.82987625  5489
1 22782U          93283.40755896 0.00000232  00000+0  20305-3 0  2015
2 22782  82.5481  44.3684 0022208 202.0204 158.0003 13.82987206  5563
1 22782U 93055A   93283.84164639 0.00000262  00000+0  21496-3 0  2019
2 22782  82.5481  44.0243 0022182 200.8571 159.1685 13.82987466  5628
1 22782U 93055A   93284.85452062 0.00000144  00000+0  10726-3 0  2014
2 22782  82.5482  43.2218 0022202 197.9855 162.0508 13.82987069  5767
1 22782U 93055A   93285.79504959 0.00000099  00000+0  76725-4 0  2012
2 22782  82.5482  42.4765 0022194 195.3782 164.6706 13.82986995  5895
1 22782U 93055A   93286.73557282 0.00000102  00000+0  80089-4 0  2017
2 22782  82.5482  41.7313 0022204 192.7321 167.3281 13.82987190  6020
1 22782U 93055A   93286.73557409  .00000094  00000-0  80089-4 0  2020
2 22782  82.5482  41.7313 0022204 192.7322 167.3281 13.82987190  6021
1 22782U 93055A   93287.82079718 0.00000104  00000+0  81814-4 0  2021
2 22782  82.5480  40.8710 0022265 189.6328 170.4407 13.82987411  6175
1 22782U 93055A   93288.76132210 0.00000075  00000+0  55400-4 0  2021
2 22782  82.5482  40.1258 0022285 186.9765 173.1087 13.82987240  6303
1 22782U 93055A   93289.84654367 0.00000038  00000+0  21875-4 0  2021
2 22782  82.5486  39.2665 0022321 183.8423 176.2567 13.82986914  6456
1 22782U 93055A   93289.84654493  .00000030  00000-0  21875-4 0  2035
2 22782  82.5486  39.2666 0022321 183.8424 176.2567 13.82986914  6458
1 22782U          93289.84654493 0.00000030  00000+0  21875-4 0  2032
2 22782  82.5486  39.2666 0022321 183.8424 176.2567 13.82986914  6458
1 22782U 93055A   93290.78707106 0.00000032  00000+0  16516-4 0  2037
2 22782  82.5488  38.5217 0022346 181.1867 178.9243 13.82986893  6583
1 22782U 93055A   93291.79994617 0.00000041  00000+0  24010-4 0  2032
2 22782  82.5488  37.7188 0022396 178.3576 181.7661 13.82987060  6720
1 22782U 93055A   93292.81282018 0.00000033  00000+0  17463-4 0  2036
2 22782  82.5490  36.9166 0022368 175.6395 184.4950 13.82987009  6867
1 22782U          93293.24690806 0.00000036  00000+0  27772-4 0  2048
2 22782  82.5490  36.5729 0022387 174.4720 185.6710 13.82987202  6927
1 22782U 93055A   93293.75334459 0.00000047  00000+0  29800-4 0  2041
2 22782  82.5492  36.1718 0022404 173.0157 187.1319 13.82987279  6995
1 22782U 93055A   93294.76621824 0.00000052  00000+0  34688-4 0  2044
2 22782  82.5492  35.3693 0022422 170.2081 189.9520 13.82987441  7135
1 22782U 93055A   93295.70674453 0.00000064  00000+0  45368-4 0  2045
2 22782  82.5491  34.6238 0022429 167.7063 192.4649 13.82987732  7267
1 22782U          93296.28552793 0.00000060  00000+0  49492-4 0  2058
2 22782  82.5491  34.1652 0022426 166.1220 194.0561 13.82987872  7342
1 22782U 93055A   93296.86431154 0.00000067  00000+0  47621-4 0  2050
2 22782  82.5494  33.7071 0022457 164.4713 195.7144 13.82987916  7420
1 22782U 93055A   93297.87718606 0.00000061  00000+0  42782-4 0  2059
2 22782  82.5498  32.9052 0022506 161.7139 198.4832 13.82987950  7568
1 22782U 93055A   93299.32414879 0.00000068  00000+0  48964-4 0  2062
2 22782  82.5498  31.7589 0022511 157.7081 202.5061 13.82988230  7762
1 22782U 93055A   93299.75823598 0.00000067  00000+0  47946-4 0  2069
2 22782  82.5499  31.4151 0022540 156.4830 203.7365 13.82988260  7825
1 22782U 93055A   93300.77110905 0.00000082  00000+0  62076-4 0  2120
